doc,para,events
GATE 8.1 build 5169 started at Tue Feb 23 13:54:39 CET 2021
and using Java 1.8.0_201 Oracle Corporation on Windows 10 amd64 10.0.
1,1001,0
1,1002,0
1,1003,0
1,1004,0
1,1005,0
1,1006,0
1,1007,0
1,1008,0
1,1009,0
1,1010,0
1,1011,0
1,1012,0
1,1013,0
1,2001,1
1,2002,0
1,2003,0
1,2004,0
1,3001,0
1,3002,0
1,3003,1
1,3004,1
1,3005,1
1,3006,1
1,3007,1
1,3008,1
1,3009,1
1,3010,1
1,3011,1
1,3012,1
1,3013,3
1,3014,3
1,3015,0
1,3016,1
1,3017,1
1,3018,1
1,3019,0
1,3020,0
1,3021,0
1,3022,0
1,3023,0
1,3024,0
1,3025,0
1,3026,0
1,3027,0
1,3028,0
1,3029,0
1,3030,0
1,3031,0
1,3032,0
1,3033,0
1,3034,0
1,3035,0
1,3036,0
1,3037,0
1,3038,0
1,3039,0
1,3040,0
1,3041,0
1,3042,0
1,3043,0
1,3044,0
1,3045,0
1,3046,0
1,3047,0
1,3048,0
1,3049,0
1,3050,0
1,3051,0
1,3052,0
1,3053,0
1,3054,0
1,3055,0
1,3056,0
1,3057,0
1,3058,0
1,3059,0
1,3060,0
1,3061,0
1,3062,0
1,3063,0
1,3064,0
1,3065,0
1,3066,0
1,3067,0
1,3068,0
1,3069,0
1,3070,0
1,3071,0
1,3072,0
1,3073,0
1,4001,0
1,4002,0
1,4003,0
1,4004,0
1,4005,0
1,4006,0
1,4007,0
1,4008,0
1,4009,0
1,4010,0
1,4011,0
1,4012,0
1,4013,0
1,4014,0
1,4015,0
1,4016,0
1,4017,0
1,4018,0
1,4019,0
1,4020,0
1,4021,0
1,4022,0
1,4023,0
1,4024,0
1,4025,0
1,4026,0
1,4027,0
1,4028,0
1,4029,0
1,4030,0
1,4031,0
1,4032,0
1,4033,0
1,4034,0
1,4035,0
1,4036,0
1,4037,0
1,4038,0
1,4039,0
1,4040,0
1,4041,0
1,4042,0
1,4043,0
1,4044,0
1,4045,0
1,4046,0
1,4047,0
1,4048,0
1,4049,0
1,4050,0
1,4051,0
1,4052,0
1,4053,0
1,4054,0
1,4055,0
1,4056,0
1,4057,0
1,4058,0
1,4059,0
1,4060,0
1,4061,0
1,4062,0
1,4063,0
1,4064,0
1,4065,0
1,4066,0
1,4067,0
1,4068,0
1,5001,1
1,5002,1
1,5003,1
1,5004,1
1,5005,1
1,5006,1
1,5007,1
1,5008,1
1,5009,1
1,5010,0
2,1001,0
2,1002,0
2,1003,0
2,1004,0
2,1005,0
2,1006,0
2,1007,0
2,2001,1
2,2002,0
2,2003,0
2,2004,0
2,2005,0
2,3001,1
2,3002,1
2,3003,0
2,3004,1
2,3005,0
2,3006,1
2,3007,1
2,3008,1
2,3009,1
2,4001,0
2,4002,0
2,4003,0
2,4004,0
2,4005,0
2,4006,0
2,4007,0
2,4008,0
2,4009,0
2,4010,0
2,4011,0
2,4012,0
2,4013,0
2,4014,0
2,4015,0
2,4016,0
2,4017,0
2,4018,0
2,4019,0
2,4020,0
2,4021,0
2,4022,0
2,4023,0
2,4024,0
2,4025,0
2,4026,0
2,4027,0
2,4028,0
2,4029,0
2,4030,0
2,4031,0
2,4032,0
2,4033,0
2,4034,0
2,4035,0
2,5001,1
2,5002,1
2,5003,1
2,5004,1
2,5005,1
2,5006,1
2,5007,1
2,5008,1
2,5009,1
2,5010,1
2,5011,0
3,1001,0
3,1002,0
3,1003,0
3,1004,0
3,1005,0
3,1006,0
3,1007,0
3,2001,1
3,2002,0
3,2003,0
3,2004,0
3,3001,0
3,3002,0
3,3003,1
3,3004,0
3,3005,3
3,3006,1
3,3007,1
3,3008,5
3,3009,0
3,3010,0
3,3011,0
3,3012,0
3,3013,0
3,3014,0
3,3015,0
3,3016,0
3,3017,0
3,3018,0
3,3019,0
3,3020,0
3,3021,0
3,3022,0
3,3023,0
3,3024,0
3,3025,0
3,4001,0
3,4002,0
3,4003,0
3,4004,0
3,4005,0
3,4006,0
3,4007,0
3,4008,0
3,4009,0
3,4010,0
3,4011,0
3,4012,0
3,4013,0
3,4014,0
3,4015,0
3,4016,0
3,4017,0
3,4018,0
3,4019,0
3,4020,0
3,4021,0
3,4022,0
3,4023,0
3,4024,0
3,4025,0
3,4026,0
3,4027,0
3,4028,0
3,4029,0
3,4030,0
3,4031,0
3,4032,0
3,4033,0
3,4034,0
3,4035,0
3,4036,0
3,4037,0
3,4038,0
3,4039,0
3,4040,0
3,4041,0
3,4042,0
3,4043,0
3,4044,0
3,4045,0
3,4046,0
3,5001,1
3,5002,1
3,5003,1
3,5004,1
3,5005,1
3,5006,1
3,5007,1
3,5008,1
3,5009,1
3,5010,1
3,5011,1
3,5012,0
4,1001,0
4,1002,0
4,1003,0
4,1004,0
4,1005,0
4,1006,0
4,1007,0
4,2001,1
4,2002,0
4,2003,0
4,2004,0
4,3001,1
4,3002,1
4,3003,0
4,3004,1
4,3005,5
4,3006,1
4,3007,2
4,3008,3
4,3009,3
4,3010,1
4,3011,4
4,3012,2
4,3013,2
4,3014,3
4,3015,2
4,3016,1
4,3017,0
4,3018,0
4,3019,0
4,3020,1
4,3021,1
4,3022,1
4,3023,2
4,3024,2
4,3025,0
4,3026,0
4,3027,0
4,4001,0
4,4002,0
4,4003,0
4,4004,0
4,4005,0
4,4006,0
4,4007,0
4,4008,0
4,4009,0
4,4010,0
4,4011,0
4,4012,0
4,4013,0
4,4014,0
4,4015,0
4,4016,0
4,4017,0
4,4018,0
4,4019,0
4,4020,0
4,4021,0
4,4022,0
4,4023,0
4,4024,0
4,5001,1
4,5002,1
4,5003,1
4,5004,0
5,1001,0
5,1002,0
5,1003,0
5,1004,0
5,1005,0
5,1006,0
5,1007,0
5,1008,0
5,2001,1
5,2002,0
5,2003,0
5,3001,0
5,3002,2
5,3003,1
5,3004,1
5,3005,1
5,3006,1
5,3007,1
5,3008,1
5,3009,1
5,3010,1
5,3011,1
5,3012,1
5,3013,1
5,3014,0
5,4001,0
5,4002,0
5,4003,0
5,4004,0
5,4005,0
5,4006,0
5,4007,0
5,4008,0
5,4009,0
5,4010,0
5,4011,0
5,4012,0
5,4013,0
5,4014,0
5,4015,0
5,4016,0
5,4017,0
5,4018,0
5,4019,0
5,4020,0
5,4021,0
5,4022,0
5,4023,0
5,4024,0
5,4025,0
5,4026,0
5,4027,0
5,4028,0
5,4029,0
5,5001,1
5,5002,1
5,5003,1
5,5004,1
5,5005,1
5,5006,1
5,5007,1
5,5008,0
6,1001,0
6,1002,0
6,1003,0
6,1004,0
6,1005,0
6,1006,0
6,1007,0
6,1008,0
6,1009,0
6,1010,0
6,1011,0
6,2001,1
6,2002,0
6,2003,0
6,2004,0
6,3001,0
6,3002,4
6,3003,1
6,3004,1
6,3005,2
6,3006,1
6,3007,0
6,3008,0
6,3009,2
6,3010,4
6,3011,1
6,3012,2
6,3013,1
6,3014,0
6,4001,0
6,4002,0
6,4003,0
6,4004,0
6,4005,0
6,4006,0
6,4007,0
6,4008,0
6,4009,0
6,4010,0
6,4011,0
6,4012,0
6,4013,0
6,4014,0
