doc,sec,events
1,1000,0
1,2000,1
1,3000,19
1,4000,0
1,5000,9
2,1000,0
2,2000,1
2,3000,7
2,4000,0
2,5000,10
3,1000,0
3,2000,1
3,3000,11
3,4000,0
3,5000,11
4,1000,0
4,2000,1
4,3000,39
4,4000,0
4,5000,3
5,1000,0
5,2000,1
5,3000,13
5,4000,0
5,5000,7
6,1000,0
6,2000,1
6,3000,19
6,4000,0
6,5000,10
7,1000,0
7,2000,1
7,3000,10
7,4000,0
7,5000,5
8,1000,0
8,2000,1
8,3000,12
8,4000,0
8,5000,3
9,1000,0
9,2000,1
9,3000,29
9,4000,0
9,5000,3
10,1000,0
10,2000,1
10,3000,35
10,4000,0
10,5000,3
11,1000,0
11,2000,1
11,3000,16
11,4000,0
11,5000,9
12,1000,0
12,2000,1
12,3000,12
12,4000,0
12,5000,10
13,1000,0
13,2000,1
13,3000,9
13,4000,0
13,5000,9
14,1000,0
14,2000,1
14,3000,41
14,4000,0
14,5000,9
15,1000,0
15,2000,1
15,3000,29
15,4000,0
15,5000,9
16,1000,10
16,2000,1
16,3000,21
16,4000,0
16,5000,0
17,1000,0
17,2000,1
17,3000,10
17,4000,0
17,5000,7
18,1000,0
18,2000,1
18,3000,10
18,4000,0
18,5000,9
19,1000,0
19,2000,1
19,3000,31
19,4000,0
19,5000,7
20,1000,0
20,2000,1
20,3000,14
20,4000,0
20,5000,10
21,1000,0
21,2000,1
21,3000,40
21,4000,0
21,5000,9
22,1000,0
22,2000,1
22,3000,16
22,4000,0
22,5000,9
23,1000,0
23,2000,1
23,3000,20
23,4000,0
23,5000,9
24,1000,0
24,2000,1
24,3000,11
24,4000,0
24,5000,8
25,1000,0
25,2000,1
25,3000,11
25,4000,0
25,5000,7
26,1000,0
26,2000,1
26,3000,4
26,4000,0
26,5000,8
27,1000,0
27,2000,1
27,3000,13
27,4000,0
27,5000,8
28,1000,0
28,2000,1
28,3000,10
28,4000,0
28,5000,9
29,1000,0
29,2000,1
29,3000,28
29,4000,0
29,5000,11
30,1000,0
30,2000,1
30,3000,15
30,4000,0
30,5000,6
