doc,para,events
1,001,0
1,002,0
1,003,1
1,004,1
1,005,1
1,006,1
1,007,1
1,008,1
1,009,1
1,010,1
1,011,1
1,012,1
1,013,3
1,014,3
1,015,0
1,016,1
1,017,1
1,018,1
1,019,0
1,020,0
1,021,0
1,022,0
1,023,0
1,024,0
1,025,0
1,026,0
1,027,0
1,028,0
1,029,0
1,030,0
1,031,0
1,032,0
1,033,0
1,034,0
1,035,0
1,036,0
1,037,0
1,038,0
1,039,0
1,040,0
1,041,0
1,042,0
1,043,0
1,044,0
1,045,0
1,046,0
1,047,0
1,048,0
1,049,0
1,050,0
1,051,0
1,052,0
1,053,0
1,054,0
1,055,0
1,056,0
1,057,0
1,058,0
1,059,0
1,060,0
1,061,0
1,062,0
1,063,0
1,064,0
1,065,0
1,066,0
1,067,0
1,068,0
1,069,0
1,070,0
1,071,0
1,072,0
1,073,0
2,001,1
2,002,1
2,003,0
2,004,1
2,005,0
2,006,1
2,007,1
2,008,1
2,009,1
3,001,0
3,002,0
3,003,1
3,004,0
3,005,3
3,006,1
3,007,1
3,008,5
3,009,0
3,010,0
3,011,0
3,012,0
3,013,0
3,014,0
3,015,0
3,016,0
3,017,0
3,018,0
3,019,0
3,020,0
3,021,0
3,022,0
3,023,0
3,024,0
3,025,0
4,001,1
4,002,1
4,003,0
4,004,1
4,005,5
4,006,1
4,007,2
4,008,3
4,009,3
4,010,1
4,011,4
4,012,2
4,013,2
4,014,3
4,015,2
4,016,1
4,017,0
4,018,0
4,019,0
4,020,1
4,021,1
4,022,1
4,023,2
4,024,2
4,025,0
4,026,0
4,027,0
5,001,0
5,002,2
5,003,1
5,004,1
5,005,1
5,006,1
5,007,1
5,008,1
5,009,1
5,010,1
5,011,1
5,012,1
5,013,1
5,014,0
6,001,0
6,002,4
6,003,1
6,004,1
6,005,2
6,006,1
6,007,0
6,008,0
6,009,2
6,010,4
6,011,1
6,012,2
6,013,1
6,014,0
7,001,0
7,002,2
7,003,3
7,004,3
7,005,2
7,006,0
7,007,0
8,001,0
8,002,0
8,003,5
8,004,1
8,005,1
8,006,2
8,007,1
8,008,1
8,009,0
8,010,0
8,011,0
8,012,0
8,013,0
8,014,0
8,015,0
8,016,1
8,017,0
8,018,0
8,019,0
8,020,0
8,021,0
8,022,0
8,023,0
8,024,0
8,025,0
8,026,0
8,027,0
8,028,0
8,029,0
8,030,0
8,031,0
8,032,0
8,033,0
8,034,0
8,035,0
8,036,0
8,037,0
8,038,0
8,039,0
8,040,0
8,041,0
8,042,0
8,043,0
8,044,0
8,045,0
8,046,0
9,001,0
9,002,1
9,003,4
9,004,0
9,005,1
9,006,0
9,007,0
9,008,0
9,009,0
9,010,1
9,011,1
9,012,1
9,013,1
9,014,1
9,015,0
9,016,0
9,017,1
9,018,1
9,019,0
9,020,0
9,021,0
9,022,1
9,023,2
9,024,2
9,025,1
9,026,0
9,027,1
9,028,0
9,029,1
9,030,1
9,031,1
9,032,0
9,033,0
9,034,0
9,035,0
9,036,1
